epsilon,dataset_size,time,result,query,result_bin
0.1,2000,0.0122621059417724,"146,150,419,103,157,5,163,308,266,140,159",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0124244689941406,"128,150,470,109,162,9,159,306,269,138,163",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0125958919525146,"150,145,427,90,160,35,177,309,243,148,154",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0128822326660156,"135,173,429,104,156,-1,143,333,263,166,150",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.1,2000,0.0142600536346435,"139,137,412,125,164,11,158,310,263,138,145",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0125513076782226,"145,139,423,111,155,20,151,321,261,133,161",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0116734504699707,"140,142,426,111,158,-2,154,318,260,104,159",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0121281147003173,"135,140,432,109,154,10,150,302,265,142,153",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0117583274841308,"143,140,430,109,164,16,161,309,263,141,156",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0112228393554687,"137,142,423,106,156,3,159,318,248,134,159",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0114123821258544,"138,144,430,91,148,16,146,318,259,130,154",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0123698711395263,"130,143,431,107,157,15,161,319,270,144,145",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0126652717590332,"140,143,430,99,167,7,157,310,256,129,147",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0121586322784423,"142,144,429,109,158,7,154,311,247,137,156",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.25,2000,0.0107672214508056,"139,143,424,115,157,9,151,307,271,145,153",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0104537010192871,"139,144,429,112,157,11,153,310,263,136,155",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.010744571685791,"136,139,430,108,157,9,153,309,259,137,157",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0102815628051757,"138,140,434,107,154,10,150,310,253,138,160",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0103199481964111,"140,143,432,111,156,8,153,310,263,141,155",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0103890895843505,"140,147,429,103,153,11,151,308,264,137,155",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0108065605163574,"137,141,429,107,158,8,157,311,259,138,157",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0115220546722412,"138,133,429,115,157,9,150,310,263,140,154",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0119791030883789,"150,142,426,109,157,10,152,308,260,146,156",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0111420154571533,"142,146,430,107,152,5,152,306,262,136,155",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.5,2000,0.0108339786529541,"136,143,430,106,156,11,148,315,262,138,154",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.75,2000,0.0109672546386718,"137,144,428,105,151,10,153,311,262,136,153",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.75,2000,0.0110833644866943,"135,141,426,106,156,9,154,310,268,137,156",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.75,2000,0.0110743045806884,"138,139,429,106,155,10,154,311,264,139,156",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.75,2000,0.0107171535491943,"138,144,429,107,157,12,153,309,263,138,156",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.75,2000,0.0112760066986083,"135,143,426,109,157,10,153,309,256,137,157",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
0.75,2000,0.0117194652557373,"137,143,431,106,156,9,151,310,259,134,155",histogram_age,"55,57,58,62,63,65,68,72,73,74,75"
