epsilon,dataset_size,mse,result,time
0.75,2000,5.6183295249938965,5.6183295249938965,30.78134059906006
0.75,2000,6.497042655944824,6.497042655944824,30.75696539878845
0.75,2000,5.594375133514403,5.594375133514403,30.56255054473877
1.75,2000,6.792255878448486,6.792255878448486,30.845820665359497
1.75,2000,6.072725772857666,6.072725772857666,30.88197898864746
1.75,2000,6.552897930145264,6.552897930145264,30.930920839309692
1.75,2000,6.741467475891112,6.741467475891112,30.865700721740726
1.75,2000,5.71243143081665,5.71243143081665,30.75817370414734
1.0,2000,6.821483135223389,6.821483135223389,30.1036913394928
1.0,2000,5.8196306228637695,5.8196306228637695,29.803303241729736
1.0,2000,6.698967456817628,6.698967456817628,29.414342403411865
1.0,2000,6.142920970916747,6.142920970916747,30.09598731994629
1.0,2000,6.657980918884277,6.657980918884277,29.299396276474
1.25,2000,5.557153224945068,5.557153224945068,29.562865018844604
1.25,2000,6.65584659576416,6.65584659576416,29.43124604225159
1.25,2000,5.7866859436035165,5.7866859436035165,29.814860582351685
1.25,2000,5.766579627990723,5.766579627990723,30.817759037017822
1.25,2000,6.573260307312013,6.573260307312013,30.927812576293945
1.5,2000,6.265561580657959,6.265561580657959,30.907307863235477
1.5,2000,6.8091912269592285,6.8091912269592285,31.01453828811645
1.5,2000,7.3209495544433585,7.3209495544433585,30.29846954345703
1.5,2000,5.531807899475098,5.531807899475098,29.705692768096924
1.5,2000,6.004477500915527,6.004477500915527,30.92025113105774
2.25,2000,6.107860088348389,6.107860088348389,29.731399297714233
2.25,2000,5.933011531829834,5.933011531829834,29.585636854171753
2.25,2000,6.025435924530028,6.025435924530028,29.7668719291687
2.25,2000,6.386146068572997,6.386146068572997,29.70944857597351
2.25,2000,6.120692729949951,6.120692729949951,30.01919460296631
2.0,2000,5.7145185470581055,5.7145185470581055,29.53675842285156
2.0,2000,5.6716551780700675,5.6716551780700675,29.57471561431885
2.0,2000,6.593569278717041,6.593569278717041,29.42744326591492
2.0,2000,6.174500942230225,6.174500942230225,29.477046251297
2.0,2000,6.221786975860597,6.221786975860597,29.958669185638428
2.5,2000,5.914223670959473,5.914223670959473,31.00590968132019
2.5,2000,6.830441951751709,6.830441951751709,31.142996072769165
2.5,2000,5.998414516448975,5.998414516448975,31.071056127548214
2.5,2000,5.922658920288086,5.922658920288086,31.10668563842773
2.5,2000,5.985604763031006,5.985604763031006,30.9609649181366
2.75,2000,5.8378639221191415,5.8378639221191415,29.72232151031494
2.75,2000,5.900313854217528,5.900313854217528,29.66991662979126
2.75,2000,6.053030967712402,6.053030967712402,30.24424958229065
2.75,2000,6.070017814636231,6.070017814636231,30.45916295051575
2.75,2000,6.209636211395264,6.209636211395264,30.861299991607666
3.0,2000,6.368316650390625,6.368316650390625,31.084985494613647
3.0,2000,6.01378345489502,6.01378345489502,31.13543438911438
3.0,2000,6.5607361793518075,6.5607361793518075,30.808300733566284
3.0,2000,6.167814254760742,6.167814254760742,30.589802503585812
3.0,2000,6.3317179679870605,6.3317179679870605,30.86287593841553
-1.0,3000,5.7197465896606445,5.7197465896606445,15.06518268585205
0.1,3000,8.511009216308594,8.511009216308594,45.931889057159424
0.1,3000,7.975461483001709,7.975461483001709,45.65283966064453
0.1,3000,14.703675270080565,14.703675270080565,43.84107804298401
0.1,3000,13.49487590789795,13.49487590789795,43.93651366233826
0.1,3000,17.195261001586914,17.195261001586914,43.804232835769646
0.25,3000,7.00674295425415,7.00674295425415,43.73201394081116
0.25,3000,7.998544216156006,7.998544216156006,44.18837237358093
0.25,3000,6.215577125549316,6.215577125549316,44.12224888801575
0.25,3000,6.790242671966553,6.790242671966553,45.80172777175903
0.25,3000,6.527710914611816,6.527710914611816,45.75991916656494
0.5,3000,6.001634120941162,6.001634120941162,44.753457307815545
0.5,3000,6.327529430389403,6.327529430389403,44.29585647583008
0.5,3000,6.077784061431885,6.077784061431885,44.03178477287293
0.5,3000,6.097125053405763,6.097125053405763,43.740346908569336
0.5,3000,5.869935035705566,5.869935035705566,44.722456216812134
0.75,3000,5.921145915985107,5.921145915985107,44.44394040107727
0.75,3000,5.922258377075195,5.922258377075195,46.26180410385132
0.75,3000,5.988875389099121,5.988875389099121,46.02310848236084
0.75,3000,6.006309509277344,6.006309509277344,43.950200319290154
0.75,3000,5.87693452835083,5.87693452835083,43.96492743492127
1.25,3000,5.9841861724853525,5.9841861724853525,45.22161507606506
1.25,3000,5.920897006988525,5.920897006988525,44.50937366485596
1.25,3000,5.88312578201294,5.88312578201294,44.08005857467651
1.25,3000,5.742843151092528,5.742843151092528,46.29493546485901
1.25,3000,5.939635276794434,5.939635276794434,44.43751883506775
1.0,3000,5.901776313781737,5.901776313781737,45.92037057876587
1.0,3000,5.822580337524414,5.822580337524414,45.710614919662476
1.0,3000,5.844278335571289,5.844278335571289,46.229552507400506
1.0,3000,5.959110736846924,5.959110736846924,44.807162761688225
1.0,3000,5.915581226348878,5.915581226348878,44.88298988342285
1.5,3000,5.863292217254639,5.863292217254639,45.71679472923279
1.5,3000,5.904684066772461,5.904684066772461,44.19298315048218
1.5,3000,5.986454963684082,5.986454963684082,44.297837495803826
1.5,3000,5.855739116668701,5.855739116668701,44.35238885879517
1.5,3000,5.7669334411621085,5.7669334411621085,43.98075604438782
1.75,3000,5.794105052947997,5.794105052947997,45.41131544113159
1.75,3000,5.871102809906006,5.871102809906006,44.72133469581604
1.75,3000,5.826995372772218,5.826995372772218,27.03783988952637
1.75,3000,5.9871788024902335,5.9871788024902335,26.9559006690979
1.75,3000,5.922969341278076,5.922969341278076,26.887068510055546
2.25,3000,5.856563091278076,5.856563091278076,26.96889615058899
2.25,3000,5.890758037567139,5.890758037567139,26.958499431610107
2.25,3000,5.929119110107423,5.929119110107423,26.939699411392212
2.25,3000,5.968992710113525,5.968992710113525,26.957647562026978
2.25,3000,5.874155521392822,5.874155521392822,26.942718982696533
2.0,3000,5.85906457901001,5.85906457901001,26.92063784599304
