epsilon,dataset_size,mse,result,time
2.75,1000,4.937037467956543,4.937037467956543,11.647027492523193
2.75,1000,5.030928134918213,5.030928134918213,11.163287162780762
3.0,1000,4.726114273071289,4.726114273071289,11.332911491394045
3.0,1000,5.734939098358153,5.734939098358153,11.625380516052244
3.0,1000,4.857807159423828,4.857807159423828,11.076499700546265
3.0,1000,5.052454471588135,5.052454471588135,11.155219078063963
3.0,1000,6.586569786071777,6.586569786071777,11.638067960739136
-1.0,2000,4.735347270965576,4.735347270965576,16.79697847366333
0.1,2000,57.26359939575195,57.26359939575195,21.152884244918823
0.1,2000,23.05091857910156,23.05091857910156,21.882117509841922
0.1,2000,52.40886688232422,52.40886688232422,20.74714803695679
0.1,2000,38.344722747802734,38.344722747802734,20.85320615768433
0.1,2000,31.0145320892334,31.0145320892334,20.57017135620117
0.25,2000,7.450844287872314,7.450844287872314,21.310679197311398
0.25,2000,10.68290901184082,10.68290901184082,21.005558252334595
0.25,2000,9.841497421264648,9.841497421264648,21.88571786880493
0.25,2000,7.336979389190674,7.336979389190674,20.80300998687744
0.25,2000,6.783262252807617,6.783262252807617,20.68061208724976
0.5,2000,6.413365364074707,6.413365364074707,22.194817781448364
0.5,2000,5.4184746742248535,5.4184746742248535,21.899560928344727
0.5,2000,5.908474922180176,5.908474922180176,42.43578338623047
0.5,2000,5.457112312316895,5.457112312316895,20.51750540733337
0.5,2000,6.3534464836120605,6.3534464836120605,20.601186752319336
0.75,2000,4.853949069976807,4.853949069976807,21.189632892608646
0.75,2000,6.675087928771973,6.675087928771973,21.164020538330078
0.75,2000,5.319173812866211,5.319173812866211,20.573729276657104
0.75,2000,5.052058696746826,5.052058696746826,20.827569246292114
0.75,2000,4.902892589569092,4.902892589569092,27.73134446144104
1.0,2000,5.572629451751709,5.572629451751709,30.449745178222656
1.0,2000,5.062053680419922,5.062053680419922,21.957189083099365
1.0,2000,4.918688774108887,4.918688774108887,20.78270769119263
1.0,2000,4.886683464050293,4.886683464050293,21.032324314117428
1.0,2000,5.157304286956787,5.157304286956787,29.43956208229065
1.5,2000,4.965092658996582,4.965092658996582,42.491244792938225
1.5,2000,4.760173320770264,4.760173320770264,20.654518842697144
1.5,2000,4.864274978637695,4.864274978637695,42.40644645690918
1.5,2000,5.307042121887207,5.307042121887207,21.046072959899906
1.5,2000,5.134341239929199,5.134341239929199,20.739168882369995
1.25,2000,5.261584281921387,5.261584281921387,20.957163095474247
1.25,2000,4.85407304763794,4.85407304763794,20.86867332458496
1.25,2000,4.761539936065674,4.761539936065674,21.958118200302124
1.25,2000,5.10820198059082,5.10820198059082,20.759676933288574
1.25,2000,4.869697570800781,4.869697570800781,20.99962306022644
1.75,2000,4.995683670043945,4.995683670043945,21.200710773468014
1.75,2000,4.884045124053955,4.884045124053955,20.44977569580078
1.75,2000,4.94697380065918,4.94697380065918,21.881498098373413
1.75,2000,4.809430122375488,4.809430122375488,20.91680359840393
1.75,2000,5.007842540740967,5.007842540740967,21.08426427841186
2.0,2000,5.052124500274658,5.052124500274658,20.545359134674076
2.0,2000,4.733090877532959,4.733090877532959,21.05330181121826
2.0,2000,5.096798896789551,5.096798896789551,20.93643355369568
