dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
8000,1.25,43.139280920550576,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-05-13T19:48:53,,
9358,1.25,88.2465662107206,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-05-13T22:58:22,,
1000,1.25,64.30496007485813,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T17:15:30,,
2000,1.25,255.10014641854957,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T17:18:38,,
3000,1.25,129.6432808638369,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T17:22:13,,
4000,1.25,134.23635560934252,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T17:26:18,,
5000,1.25,274.35546038543896,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T17:30:53,,
6000,1.25,38.51983828778214,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T17:36:05,,
7000,1.25,66.42026000283391,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T17:49:13,,
8500,1.25,144.5345727488742,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T18:09:54,,
9000,1.25,89.870920449655,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-04T18:36:08,,
1000,1.5,72.60483635635751,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T17:12:58,,
2000,1.5,70.75498398491017,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T17:20:48,,
3000,1.5,93.60629038062385,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T17:28:41,,
4000,1.5,146.10449293527014,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T17:41:35,,
5000,1.5,83.07726460130051,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T18:00:38,,
6000,1.5,68.17878962908772,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T18:27:23,,
7000,1.5,34.75955664978913,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T19:05:27,,
