query,dataset_size,epsilon,result,tool,time
count_ppincimp,8500,0.1,0.0,smartnoise_dpctgan,
count_q1,8500,0.1,0.0,smartnoise_dpctgan,
histogram_insured,8500,0.1,556.2772317099474,smartnoise_dpctgan,
histogram_ppeducat,8500,0.1,159.28830192625128,smartnoise_dpctgan,
histogram_ppincimp,8500,0.1,63.21713053127516,smartnoise_dpctgan,
histogram_q1,8500,0.1,101.20193165389534,smartnoise_dpctgan,
sum_insured,8500,0.1,66.42419601837672,smartnoise_dpctgan,
sum_ppeducat,8500,0.1,22.958752592365006,smartnoise_dpctgan,
sum_ppincimp,8500,0.1,8.628153321393537,smartnoise_dpctgan,
sum_q1,8500,0.1,6.63570931042489,smartnoise_dpctgan,
avg_insured,1000,0.25,57.17344753747323,smartnoise_dpctgan,
avg_ppeducat,1000,0.25,28.222436515589845,smartnoise_dpctgan,
avg_ppincimp,1000,0.25,3.405122235157159,smartnoise_dpctgan,
avg_q1,1000,0.25,4.3512658227848044,smartnoise_dpctgan,
count_insured,1000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,1000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,1000,0.25,0.0,smartnoise_dpctgan,
count_q1,1000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,1000,0.25,573.5402785667602,smartnoise_dpctgan,
histogram_ppeducat,1000,0.25,284.4957250361733,smartnoise_dpctgan,
histogram_ppincimp,1000,0.25,38.920275150997405,smartnoise_dpctgan,
histogram_q1,1000,0.25,106.66239747572592,smartnoise_dpctgan,
sum_insured,1000,0.25,57.17344753747323,smartnoise_dpctgan,
sum_ppeducat,1000,0.25,28.222436515589845,smartnoise_dpctgan,
sum_ppincimp,1000,0.25,3.40512223515716,smartnoise_dpctgan,
sum_q1,1000,0.25,4.351265822784811,smartnoise_dpctgan,
avg_insured,2000,0.25,65.53191489361701,smartnoise_dpctgan,
avg_ppeducat,2000,0.25,18.695930791413005,smartnoise_dpctgan,
avg_ppincimp,2000,0.25,17.234425639178962,smartnoise_dpctgan,
avg_q1,2000,0.25,5.712567648827424,smartnoise_dpctgan,
count_insured,2000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,2000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,2000,0.25,0.0,smartnoise_dpctgan,
count_q1,2000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,2000,0.25,727.440333056282,smartnoise_dpctgan,
histogram_ppeducat,2000,0.25,207.42627260370853,smartnoise_dpctgan,
histogram_ppincimp,2000,0.25,108.7825588555029,smartnoise_dpctgan,
