dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
4000,0.25,951.4856626550571,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:21:52,,
5000,0.25,975.2192633577046,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:29:20,,
5499,0.25,959.2233486006228,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.25_2021-05-15T07:37:16,,
5499,0.5,995.2104535443661,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.5_2021-05-15T07:37:55,,
5499,0.75,1024.688197852496,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_0.75_2021-05-15T07:38:09,,
2000,1.0,1700.5445591496405,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:11:44,,
3000,1.0,1352.5443173348187,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:16:52,,
4000,1.0,968.218985804278,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:22:44,,
5499,1.0,1070.8556797087026,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.0_2021-05-15T07:38:53,,
1000,1.25,3012.3395547424343,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:08:08,,
2000,1.25,1580.8083085014662,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:12:08,,
3000,1.25,1350.5213845225549,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:17:13,,
5499,1.25,964.1812783103898,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.25_2021-05-15T07:39:11,,
5499,1.5,1050.974164387514,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.5_2021-05-15T07:40:04,,
1000,1.75,2871.8254886618925,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:08:32,,
2000,1.75,1584.2567528810064,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:12:48,,
3000,1.75,1981.6960709488962,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:17:50,,
5000,1.75,937.2221755972689,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:32:03,,
5499,1.75,980.3745841718074,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_1.75_2021-05-15T07:40:54,,
